id,productName,brandName,url,price,colorName,productImage
1212097007,Ruffle-trimmed Tulle Dress,H&M,https://www2.hm.com/en_us/productpage.1212097007.html,$ 17.99,Pink,https://image.hm.com/assets/hm/7c/8b/7c8b25df28a31b6737c4204ca3eb0c6318cd23a7.jpg
1251690001,Jersey Pajamas,H&M,https://www2.hm.com/en_us/productpage.1251690001.html,$ 17.99,Black,https://image.hm.com/assets/hm/d1/c0/d1c03448fc8c5557d2ad66a90261480c37939691.jpg
1108398012,MAMA Dress Pants,H&M,https://www2.hm.com/en_us/productpage.1108398012.html,$ 34.99,Gray melange,https://image.hm.com/assets/hm/f8/ff/f8ff1843cc2b727c0171d4072963b622660802ac.jpg
1232260004,Slim Fit Fine-Knit Sweater,H&M,https://www2.hm.com/en_us/productpage.1232260004.html,$ 22.49,Navy blue,https://image.hm.com/assets/hm/e7/72/e7721cc1d52f69a38eeb385eb1666199ba812f05.jpg
0890930018,3-pack Regular Fit Jersey Shirts,H&M,https://www2.hm.com/en_us/productpage.0890930018.html,$ 30.99,Black/dark gray/white,https://image.hm.com/assets/hm/2b/a8/2ba855baf210221aa7a8989a5330a36e2db9d0a3.jpg
1136205013,Straight High Jeans,H&M,https://www2.hm.com/en_us/productpage.1136205013.html,$ 32.99,Light denim blue,https://image.hm.com/assets/hm/ef/44/ef449f9b5509c916fe79d1ede74e6ced50a7f361.jpg
0996759023,Ribbed Jersey Top,H&M,https://www2.hm.com/en_us/productpage.0996759023.html,$ 12.49,White,https://image.hm.com/assets/hm/72/21/7221fd5405d1e7815d1ef2d4be57ed43e5c591c6.jpg
1240906001,2-pack Ribbed Cotton Henley Shirts,H&M,https://www2.hm.com/en_us/productpage.1240906001.html,$ 16.99,Dusty blue melange/cream,https://image.hm.com/assets/hm/ed/66/ed665c93aaab5fa60268c4aadf2264d10184657a.jpg
1165487003,Flared Leg Low Jeans,H&M,https://www2.hm.com/en_us/productpage.1165487003.html,$ 16.99,Black,https://image.hm.com/assets/hm/4d/c5/4dc5a476eef13c535a0d973400b021dc5454b65b.jpg
1231746005,Cropped sports vest top in DryMove™,H&M,https://www2.hm.com/en_us/productpage.1231746005.html,$ 8.49,Dark gray,https://image.hm.com/assets/hm/35/94/3594597a33ee3a490d45dda8ddae956d474a539a.jpg
1233840002,Puffer Vest,H&M,https://www2.hm.com/en_us/productpage.1233840002.html,$ 22.49,Dark gray,https://image.hm.com/assets/hm/7b/bb/7bbb7f82a18214780fc8e1254a500084e71c6b50.jpg
